date_key,date,year,quarter_number,quarter_text,month,year_month,week,year_week,week_start,week_end,week_range,abbreviated_weekday,weekday
74,"2021-03-15 00:00:00",2021,1,"Q1 2021",3,"March 2021",11,"2021, Week 11","2021-03-15 00:00:00",2021-03-21,"Mar 15, 2021 to Mar 21, 2021 (Week 11)",Mon,Monday
75,"2021-03-16 00:00:00",2021,1,"Q1 2021",3,"March 2021",11,"2021, Week 11","2021-03-15 00:00:00",2021-03-21,"Mar 15, 2021 to Mar 21, 2021 (Week 11)",Tue,Tuesday
76,"2021-03-17 00:00:00",2021,1,"Q1 2021",3,"March 2021",11,"2021, Week 11","2021-03-15 00:00:00",2021-03-21,"Mar 15, 2021 to Mar 21, 2021 (Week 11)",Wed,Wednesday
77,"2021-03-18 00:00:00",2021,1,"Q1 2021",3,"March 2021",11,"2021, Week 11","2021-03-15 00:00:00",2021-03-21,"Mar 15, 2021 to Mar 21, 2021 (Week 11)",Thu,Thursday
78,"2021-03-19 00:00:00",2021,1,"Q1 2021",3,"March 2021",11,"2021, Week 11","2021-03-15 00:00:00",2021-03-21,"Mar 15, 2021 to Mar 21, 2021 (Week 11)",Fri,Friday
79,"2021-03-20 00:00:00",2021,1,"Q1 2021",3,"March 2021",11,"2021, Week 11","2021-03-15 00:00:00",2021-03-21,"Mar 15, 2021 to Mar 21, 2021 (Week 11)",Sat,Saturday
80,"2021-03-21 00:00:00",2021,1,"Q1 2021",3,"March 2021",11,"2021, Week 11","2021-03-15 00:00:00",2021-03-21,"Mar 15, 2021 to Mar 21, 2021 (Week 11)",Sun,Sunday
81,"2021-03-22 00:00:00",2021,1,"Q1 2021",3,"March 2021",12,"2021, Week 12","2021-03-22 00:00:00",2021-03-28,"Mar 22, 2021 to Mar 28, 2021 (Week 12)",Mon,Monday
82,"2021-03-23 00:00:00",2021,1,"Q1 2021",3,"March 2021",12,"2021, Week 12","2021-03-22 00:00:00",2021-03-28,"Mar 22, 2021 to Mar 28, 2021 (Week 12)",Tue,Tuesday
83,"2021-03-24 00:00:00",2021,1,"Q1 2021",3,"March 2021",12,"2021, Week 12","2021-03-22 00:00:00",2021-03-28,"Mar 22, 2021 to Mar 28, 2021 (Week 12)",Wed,Wednesday
84,"2021-03-25 00:00:00",2021,1,"Q1 2021",3,"March 2021",12,"2021, Week 12","2021-03-22 00:00:00",2021-03-28,"Mar 22, 2021 to Mar 28, 2021 (Week 12)",Thu,Thursday
85,"2021-03-26 00:00:00",2021,1,"Q1 2021",3,"March 2021",12,"2021, Week 12","2021-03-22 00:00:00",2021-03-28,"Mar 22, 2021 to Mar 28, 2021 (Week 12)",Fri,Friday
86,"2021-03-27 00:00:00",2021,1,"Q1 2021",3,"March 2021",12,"2021, Week 12","2021-03-22 00:00:00",2021-03-28,"Mar 22, 2021 to Mar 28, 2021 (Week 12)",Sat,Saturday
87,"2021-03-28 00:00:00",2021,1,"Q1 2021",3,"March 2021",12,"2021, Week 12","2021-03-22 00:00:00",2021-03-28,"Mar 22, 2021 to Mar 28, 2021 (Week 12)",Sun,Sunday
88,"2021-03-29 00:00:00",2021,1,"Q1 2021",3,"March 2021",13,"2021, Week 13","2021-03-29 00:00:00",2021-04-04,"Mar 29, 2021 to Apr 04, 2021 (Week 13)",Mon,Monday
89,"2021-03-30 00:00:00",2021,1,"Q1 2021",3,"March 2021",13,"2021, Week 13","2021-03-29 00:00:00",2021-04-04,"Mar 29, 2021 to Apr 04, 2021 (Week 13)",Tue,Tuesday
90,"2021-03-31 00:00:00",2021,1,"Q1 2021",3,"March 2021",13,"2021, Week 13","2021-03-29 00:00:00",2021-04-04,"Mar 29, 2021 to Apr 04, 2021 (Week 13)",Wed,Wednesday
91,"2021-04-01 00:00:00",2021,2,"Q2 2021",4,"April 2021",13,"2021, Week 13","2021-03-29 00:00:00",2021-04-04,"Mar 29, 2021 to Apr 04, 2021 (Week 13)",Thu,Thursday
92,"2021-04-02 00:00:00",2021,2,"Q2 2021",4,"April 2021",13,"2021, Week 13","2021-03-29 00:00:00",2021-04-04,"Mar 29, 2021 to Apr 04, 2021 (Week 13)",Fri,Friday
93,"2021-04-03 00:00:00",2021,2,"Q2 2021",4,"April 2021",13,"2021, Week 13","2021-03-29 00:00:00",2021-04-04,"Mar 29, 2021 to Apr 04, 2021 (Week 13)",Sat,Saturday
94,"2021-04-04 00:00:00",2021,2,"Q2 2021",4,"April 2021",13,"2021, Week 13","2021-03-29 00:00:00",2021-04-04,"Mar 29, 2021 to Apr 04, 2021 (Week 13)",Sun,Sunday
95,"2021-04-05 00:00:00",2021,2,"Q2 2021",4,"April 2021",14,"2021, Week 14","2021-04-05 00:00:00",2021-04-11,"Apr 05, 2021 to Apr 11, 2021 (Week 14)",Mon,Monday
96,"2021-04-06 00:00:00",2021,2,"Q2 2021",4,"April 2021",14,"2021, Week 14","2021-04-05 00:00:00",2021-04-11,"Apr 05, 2021 to Apr 11, 2021 (Week 14)",Tue,Tuesday
97,"2021-04-07 00:00:00",2021,2,"Q2 2021",4,"April 2021",14,"2021, Week 14","2021-04-05 00:00:00",2021-04-11,"Apr 05, 2021 to Apr 11, 2021 (Week 14)",Wed,Wednesday
98,"2021-04-08 00:00:00",2021,2,"Q2 2021",4,"April 2021",14,"2021, Week 14","2021-04-05 00:00:00",2021-04-11,"Apr 05, 2021 to Apr 11, 2021 (Week 14)",Thu,Thursday
99,"2021-04-09 00:00:00",2021,2,"Q2 2021",4,"April 2021",14,"2021, Week 14","2021-04-05 00:00:00",2021-04-11,"Apr 05, 2021 to Apr 11, 2021 (Week 14)",Fri,Friday
100,"2021-04-10 00:00:00",2021,2,"Q2 2021",4,"April 2021",14,"2021, Week 14","2021-04-05 00:00:00",2021-04-11,"Apr 05, 2021 to Apr 11, 2021 (Week 14)",Sat,Saturday
101,"2021-04-11 00:00:00",2021,2,"Q2 2021",4,"April 2021",14,"2021, Week 14","2021-04-05 00:00:00",2021-04-11,"Apr 05, 2021 to Apr 11, 2021 (Week 14)",Sun,Sunday
102,"2021-04-12 00:00:00",2021,2,"Q2 2021",4,"April 2021",15,"2021, Week 15","2021-04-12 00:00:00",2021-04-18,"Apr 12, 2021 to Apr 18, 2021 (Week 15)",Mon,Monday
103,"2021-04-13 00:00:00",2021,2,"Q2 2021",4,"April 2021",15,"2021, Week 15","2021-04-12 00:00:00",2021-04-18,"Apr 12, 2021 to Apr 18, 2021 (Week 15)",Tue,Tuesday
104,"2021-04-14 00:00:00",2021,2,"Q2 2021",4,"April 2021",15,"2021, Week 15","2021-04-12 00:00:00",2021-04-18,"Apr 12, 2021 to Apr 18, 2021 (Week 15)",Wed,Wednesday
105,"2021-04-15 00:00:00",2021,2,"Q2 2021",4,"April 2021",15,"2021, Week 15","2021-04-12 00:00:00",2021-04-18,"Apr 12, 2021 to Apr 18, 2021 (Week 15)",Thu,Thursday
106,"2021-04-16 00:00:00",2021,2,"Q2 2021",4,"April 2021",15,"2021, Week 15","2021-04-12 00:00:00",2021-04-18,"Apr 12, 2021 to Apr 18, 2021 (Week 15)",Fri,Friday
107,"2021-04-17 00:00:00",2021,2,"Q2 2021",4,"April 2021",15,"2021, Week 15","2021-04-12 00:00:00",2021-04-18,"Apr 12, 2021 to Apr 18, 2021 (Week 15)",Sat,Saturday
108,"2021-04-18 00:00:00",2021,2,"Q2 2021",4,"April 2021",15,"2021, Week 15","2021-04-12 00:00:00",2021-04-18,"Apr 12, 2021 to Apr 18, 2021 (Week 15)",Sun,Sunday
109,"2021-04-19 00:00:00",2021,2,"Q2 2021",4,"April 2021",16,"2021, Week 16","2021-04-19 00:00:00",2021-04-25,"Apr 19, 2021 to Apr 25, 2021 (Week 16)",Mon,Monday
110,"2021-04-20 00:00:00",2021,2,"Q2 2021",4,"April 2021",16,"2021, Week 16","2021-04-19 00:00:00",2021-04-25,"Apr 19, 2021 to Apr 25, 2021 (Week 16)",Tue,Tuesday
111,"2021-04-21 00:00:00",2021,2,"Q2 2021",4,"April 2021",16,"2021, Week 16","2021-04-19 00:00:00",2021-04-25,"Apr 19, 2021 to Apr 25, 2021 (Week 16)",Wed,Wednesday
112,"2021-04-22 00:00:00",2021,2,"Q2 2021",4,"April 2021",16,"2021, Week 16","2021-04-19 00:00:00",2021-04-25,"Apr 19, 2021 to Apr 25, 2021 (Week 16)",Thu,Thursday
113,"2021-04-23 00:00:00",2021,2,"Q2 2021",4,"April 2021",16,"2021, Week 16","2021-04-19 00:00:00",2021-04-25,"Apr 19, 2021 to Apr 25, 2021 (Week 16)",Fri,Friday
114,"2021-04-24 00:00:00",2021,2,"Q2 2021",4,"April 2021",16,"2021, Week 16","2021-04-19 00:00:00",2021-04-25,"Apr 19, 2021 to Apr 25, 2021 (Week 16)",Sat,Saturday
115,"2021-04-25 00:00:00",2021,2,"Q2 2021",4,"April 2021",16,"2021, Week 16","2021-04-19 00:00:00",2021-04-25,"Apr 19, 2021 to Apr 25, 2021 (Week 16)",Sun,Sunday
116,"2021-04-26 00:00:00",2021,2,"Q2 2021",4,"April 2021",17,"2021, Week 17","2021-04-26 00:00:00",2021-05-02,"Apr 26, 2021 to May 02, 2021 (Week 17)",Mon,Monday
117,"2021-04-27 00:00:00",2021,2,"Q2 2021",4,"April 2021",17,"2021, Week 17","2021-04-26 00:00:00",2021-05-02,"Apr 26, 2021 to May 02, 2021 (Week 17)",Tue,Tuesday
118,"2021-04-28 00:00:00",2021,2,"Q2 2021",4,"April 2021",17,"2021, Week 17","2021-04-26 00:00:00",2021-05-02,"Apr 26, 2021 to May 02, 2021 (Week 17)",Wed,Wednesday
119,"2021-04-29 00:00:00",2021,2,"Q2 2021",4,"April 2021",17,"2021, Week 17","2021-04-26 00:00:00",2021-05-02,"Apr 26, 2021 to May 02, 2021 (Week 17)",Thu,Thursday
120,"2021-04-30 00:00:00",2021,2,"Q2 2021",4,"April 2021",17,"2021, Week 17","2021-04-26 00:00:00",2021-05-02,"Apr 26, 2021 to May 02, 2021 (Week 17)",Fri,Friday
121,"2021-05-01 00:00:00",2021,2,"Q2 2021",5,"May 2021",17,"2021, Week 17","2021-04-26 00:00:00",2021-05-02,"Apr 26, 2021 to May 02, 2021 (Week 17)",Sat,Saturday
122,"2021-05-02 00:00:00",2021,2,"Q2 2021",5,"May 2021",17,"2021, Week 17","2021-04-26 00:00:00",2021-05-02,"Apr 26, 2021 to May 02, 2021 (Week 17)",Sun,Sunday
123,"2021-05-03 00:00:00",2021,2,"Q2 2021",5,"May 2021",18,"2021, Week 18","2021-05-03 00:00:00",2021-05-09,"May 03, 2021 to May 09, 2021 (Week 18)",Mon,Monday
124,"2021-05-04 00:00:00",2021,2,"Q2 2021",5,"May 2021",18,"2021, Week 18","2021-05-03 00:00:00",2021-05-09,"May 03, 2021 to May 09, 2021 (Week 18)",Tue,Tuesday
125,"2021-05-05 00:00:00",2021,2,"Q2 2021",5,"May 2021",18,"2021, Week 18","2021-05-03 00:00:00",2021-05-09,"May 03, 2021 to May 09, 2021 (Week 18)",Wed,Wednesday
126,"2021-05-06 00:00:00",2021,2,"Q2 2021",5,"May 2021",18,"2021, Week 18","2021-05-03 00:00:00",2021-05-09,"May 03, 2021 to May 09, 2021 (Week 18)",Thu,Thursday
127,"2021-05-07 00:00:00",2021,2,"Q2 2021",5,"May 2021",18,"2021, Week 18","2021-05-03 00:00:00",2021-05-09,"May 03, 2021 to May 09, 2021 (Week 18)",Fri,Friday
128,"2021-05-08 00:00:00",2021,2,"Q2 2021",5,"May 2021",18,"2021, Week 18","2021-05-03 00:00:00",2021-05-09,"May 03, 2021 to May 09, 2021 (Week 18)",Sat,Saturday
129,"2021-05-09 00:00:00",2021,2,"Q2 2021",5,"May 2021",18,"2021, Week 18","2021-05-03 00:00:00",2021-05-09,"May 03, 2021 to May 09, 2021 (Week 18)",Sun,Sunday
